RegionCode,RegionName,LanguageCode,DisplayLanguage,AppName,Phase,PriceTier,Price,Status
US,United States,en,English,werck it!- video degrader（压烂它！）,Phase 1,3,$2.99,Active
CN,China,zh-Hans,Simplified Chinese,werck it!- video degrader（压烂它！）,Phase 1,1,¥6,Active
GB,United Kingdom,en,English,werck it!- video degrader（压烂它！）,Phase 1,3,£2.99,Active
JP,Japan,ja,Japanese,werck it!- video degrader（压烂它！）,Phase 1,3,¥400,Active
TW,Taiwan,zh-Hant,Traditional Chinese,werck it!- video degrader（压烂它！）,Phase 1,2,TWD 90,Active
